D:\Anaconda3\envs\bigcn\python.exe D:/liuqiang/MAGNN/run_LastFM.py
Using backend: pytorch
program start at  time.struct_time(tm_year=2020, tm_mon=11, tm_mday=30, tm_hour=16, tm_min=16, tm_sec=47, tm_wday=0, tm_yday=335, tm_isdst=0)
train iteration count of each epoch :8123 ,val iteration count of each epoch: 1161
D:\Anaconda3\envs\bigcn\lib\site-packages\dgl\base.py:45: DGLWarning: Recommend creating graphs by `dgl.graph(data)` instead of `dgl.DGLGraph(data)`.
  return warnings.warn(message, category=category, stacklevel=1)
D:\Anaconda3\envs\bigcn\lib\site-packages\dgl\base.py:45: DGLWarning: Keyword arguments ['multigraph'] are deprecated in v0.5, and can be safely removed in all cases.
  return warnings.warn(message, category=category, stacklevel=1)
Epoch 00000 | Iteration 06600 | Train_Loss 0.0294 | Time1(s) 0.9501 | Time2(s) 0.0567 | Time3(s) 0.0794
Epoch 00000 | Iteration 06700 | Train_Loss 0.0358 | Time1(s) 0.9494 | Time2(s) 0.0566 | Time3(s) 0.0792
Epoch 00000 | Iteration 06800 | Train_Loss 0.0038 | Time1(s) 0.9487 | Time2(s) 0.0566 | Time3(s) 0.0791
Epoch 00000 | Iteration 06900 | Train_Loss 0.2293 | Time1(s) 0.9476 | Time2(s) 0.0565 | Time3(s) 0.0789
Epoch 00000 | Iteration 07000 | Train_Loss 0.0036 | Time1(s) 0.9466 | Time2(s) 0.0565 | Time3(s) 0.0787
Epoch 00000 | Iteration 07100 | Train_Loss 0.0006 | Time1(s) 0.9458 | Time2(s) 0.0564 | Time3(s) 0.0785
Epoch 00000 | Iteration 07200 | Train_Loss 0.1094 | Time1(s) 0.9451 | Time2(s) 0.0564 | Time3(s) 0.0784
Epoch 00000 | Iteration 07300 | Train_Loss 2.4570 | Time1(s) 0.9445 | Time2(s) 0.0564 | Time3(s) 0.0782
Epoch 00000 | Iteration 07400 | Train_Loss 0.0160 | Time1(s) 0.9438 | Time2(s) 0.0563 | Time3(s) 0.0781
Epoch 00000 | Iteration 07500 | Train_Loss 0.0046 | Time1(s) 0.9431 | Time2(s) 0.0563 | Time3(s) 0.0779
Epoch 00000 | Iteration 07600 | Train_Loss 0.0409 | Time1(s) 0.9432 | Time2(s) 0.0562 | Time3(s) 0.0778
Epoch 00000 | Iteration 07700 | Train_Loss 0.0022 | Time1(s) 0.9446 | Time2(s) 0.0563 | Time3(s) 0.0780
Epoch 00000 | Iteration 07800 | Train_Loss 0.0006 | Time1(s) 0.9455 | Time2(s) 0.0563 | Time3(s) 0.0781
Epoch 00000 | Iteration 07900 | Train_Loss 0.0457 | Time1(s) 0.9462 | Time2(s) 0.0563 | Time3(s) 0.0783
Epoch 00000 | Iteration 08000 | Train_Loss 1.7066 | Time1(s) 0.9464 | Time2(s) 0.0563 | Time3(s) 0.0784
Epoch 00000 | Iteration 08100 | Train_Loss 0.4672 | Time1(s) 0.9466 | Time2(s) 0.0563 | Time3(s) 0.0786
Epoch 00000 | Val_Loss 0.1307 | Time(s) 10013.0271
Validation loss decreased (inf --> 0.130722).  Saving model ...
Epoch 00001 | Iteration 00000 | Train_Loss 1.5710 | Time1(s) 0.9467 | Time2(s) 0.0564 | Time3(s) 0.0786
Epoch 00001 | Iteration 00100 | Train_Loss 0.0092 | Time1(s) 0.9472 | Time2(s) 0.0564 | Time3(s) 0.0787
Epoch 00001 | Iteration 00200 | Train_Loss 0.0288 | Time1(s) 0.9478 | Time2(s) 0.0564 | Time3(s) 0.0789
Epoch 00001 | Iteration 00300 | Train_Loss 0.0164 | Time1(s) 0.9477 | Time2(s) 0.0564 | Time3(s) 0.0790
Epoch 00001 | Iteration 00400 | Train_Loss 0.0006 | Time1(s) 0.9480 | Time2(s) 0.0564 | Time3(s) 0.0791
Epoch 00001 | Iteration 00500 | Train_Loss 0.0779 | Time1(s) 0.9482 | Time2(s) 0.0564 | Time3(s) 0.0792
Epoch 00001 | Iteration 00600 | Train_Loss 0.3570 | Time1(s) 0.9488 | Time2(s) 0.0564 | Time3(s) 0.0794
Epoch 00001 | Iteration 00700 | Train_Loss 0.1498 | Time1(s) 0.9494 | Time2(s) 0.0565 | Time3(s) 0.0795
Epoch 00001 | Iteration 00800 | Train_Loss 0.0112 | Time1(s) 0.9499 | Time2(s) 0.0565 | Time3(s) 0.0796
Epoch 00001 | Iteration 00900 | Train_Loss 0.0002 | Time1(s) 0.9496 | Time2(s) 0.0565 | Time3(s) 0.0797
Epoch 00001 | Iteration 01000 | Train_Loss 0.0009 | Time1(s) 0.9494 | Time2(s) 0.0565 | Time3(s) 0.0798
Epoch 00001 | Iteration 01100 | Train_Loss 0.0758 | Time1(s) 0.9497 | Time2(s) 0.0565 | Time3(s) 0.0799
Epoch 00001 | Iteration 01200 | Train_Loss 0.0032 | Time1(s) 0.9495 | Time2(s) 0.0565 | Time3(s) 0.0800
Epoch 00001 | Iteration 01300 | Train_Loss 0.0147 | Time1(s) 0.9494 | Time2(s) 0.0565 | Time3(s) 0.0802
Epoch 00001 | Iteration 01400 | Train_Loss 0.1263 | Time1(s) 0.9496 | Time2(s) 0.0566 | Time3(s) 0.0803
Epoch 00001 | Iteration 01500 | Train_Loss 0.1061 | Time1(s) 0.9499 | Time2(s) 0.0566 | Time3(s) 0.0803
Epoch 00001 | Iteration 01600 | Train_Loss 0.0134 | Time1(s) 0.9500 | Time2(s) 0.0566 | Time3(s) 0.0804
Epoch 00001 | Iteration 01700 | Train_Loss 0.0465 | Time1(s) 0.9503 | Time2(s) 0.0566 | Time3(s) 0.0805
Epoch 00001 | Iteration 01800 | Train_Loss 0.0079 | Time1(s) 0.9506 | Time2(s) 0.0566 | Time3(s) 0.0806
Epoch 00001 | Iteration 01900 | Train_Loss 0.0034 | Time1(s) 0.9508 | Time2(s) 0.0567 | Time3(s) 0.0807
Epoch 00001 | Iteration 02000 | Train_Loss 0.0811 | Time1(s) 0.9508 | Time2(s) 0.0567 | Time3(s) 0.0808
Epoch 00001 | Iteration 02100 | Train_Loss 0.0137 | Time1(s) 0.9508 | Time2(s) 0.0567 | Time3(s) 0.0808
Epoch 00001 | Iteration 02200 | Train_Loss 0.0697 | Time1(s) 0.9509 | Time2(s) 0.0567 | Time3(s) 0.0809
Epoch 00001 | Iteration 02300 | Train_Loss 0.7423 | Time1(s) 0.9510 | Time2(s) 0.0567 | Time3(s) 0.0810
Epoch 00001 | Iteration 02400 | Train_Loss 0.0075 | Time1(s) 0.9512 | Time2(s) 0.0567 | Time3(s) 0.0811
Epoch 00001 | Iteration 02500 | Train_Loss 0.0203 | Time1(s) 0.9511 | Time2(s) 0.0568 | Time3(s) 0.0812
Epoch 00001 | Iteration 02600 | Train_Loss 0.0095 | Time1(s) 0.9512 | Time2(s) 0.0568 | Time3(s) 0.0813
Epoch 00001 | Iteration 02700 | Train_Loss 0.0000 | Time1(s) 0.9514 | Time2(s) 0.0568 | Time3(s) 0.0814
Epoch 00001 | Iteration 02800 | Train_Loss 0.0328 | Time1(s) 0.9516 | Time2(s) 0.0568 | Time3(s) 0.0814
Epoch 00001 | Iteration 02900 | Train_Loss 0.2369 | Time1(s) 0.9516 | Time2(s) 0.0568 | Time3(s) 0.0815
Epoch 00001 | Iteration 03000 | Train_Loss 0.0023 | Time1(s) 0.9518 | Time2(s) 0.0568 | Time3(s) 0.0816
Epoch 00001 | Iteration 03100 | Train_Loss 0.0094 | Time1(s) 0.9518 | Time2(s) 0.0568 | Time3(s) 0.0816
Epoch 00001 | Iteration 03200 | Train_Loss 0.0002 | Time1(s) 0.9519 | Time2(s) 0.0568 | Time3(s) 0.0817
Epoch 00001 | Iteration 03300 | Train_Loss 0.4715 | Time1(s) 0.9521 | Time2(s) 0.0568 | Time3(s) 0.0818
Epoch 00001 | Iteration 03400 | Train_Loss 0.0001 | Time1(s) 0.9522 | Time2(s) 0.0568 | Time3(s) 0.0819
Epoch 00001 | Iteration 03500 | Train_Loss 0.0014 | Time1(s) 0.9524 | Time2(s) 0.0568 | Time3(s) 0.0820
Epoch 00001 | Iteration 03600 | Train_Loss 0.0163 | Time1(s) 0.9525 | Time2(s) 0.0568 | Time3(s) 0.0820
